City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
3,Lufilufi,WS,75.2,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
4,Biltine,TD,80.33,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
8,Kapaa,US,75.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
10,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
14,Chuy,UY,81.39,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
18,Butaritari,KI,80.73,moderate rain,3.07,172.79,Isles Sunset Lodge
19,Sao Gabriel Da Cachoeira,BR,84.2,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
21,Cidreira,BR,76.75,heavy intensity rain,-30.18,-50.21,Hotel Castelo
23,Nieuw Amsterdam,SR,86.0,scattered clouds,5.88,-55.08,Hotel Stardust
27,Ariquemes,BR,93.56,scattered clouds,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
32,Rikitea,PF,76.3,overcast clouds,-23.12,-134.97,Pension Maro'i
35,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
36,Malmesbury,ZA,70.0,clear sky,-33.46,18.73,SuNel's Guest Rooms
38,Kilindoni,TZ,81.91,overcast clouds,-7.91,39.67,Bustani B&B
42,Kavaratti,IN,82.76,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
45,Orocue,CO,82.58,broken clouds,4.79,-71.34,Hotel Brisas de San Miguel
47,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
52,Trairi,BR,87.35,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
53,Katherine,AU,86.0,few clouds,-14.47,132.27,Pine Tree Motel
55,Hambantota,LK,78.8,thunderstorm,6.12,81.12,Bungalow 63
56,Port Blair,IN,81.18,clear sky,11.67,92.75,Fortune Resort Bay Island
59,Pedasi,PA,81.32,light rain,7.53,-80.03,Selina Pedasi
61,Sainte-Marie,RE,75.2,broken clouds,-20.9,55.55,Les pailles en queue de Sainte Marie
63,Cape Town,ZA,70.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
65,Manokwari,ID,79.39,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
69,Saint-Joseph,RE,77.0,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
74,Tuy Hoa,VN,75.87,heavy intensity rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
78,Atuona,PF,78.64,light rain,-9.8,-139.03,Villa Enata
80,Miri,MY,75.2,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
83,Karratha,AU,77.97,clear sky,-20.74,116.85,ibis Styles Karratha
84,Malakal,SS,81.3,few clouds,9.53,31.66,Nile Palace Hotel
85,Kavieng,PG,79.3,light rain,-2.57,150.8,Nusa Island Retreat
86,Arraial Do Cabo,BR,84.2,clear sky,-22.97,-42.03,Pousada Porto Praia
87,Bubaque,GW,81.34,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
90,Saint-Philippe,RE,77.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
94,Coahuayana,MX,77.0,scattered clouds,18.73,-103.68,Hotel Los Arcos
99,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
100,Labuhan,ID,75.83,moderate rain,-6.88,112.21,bador sepret
103,Bundaberg,AU,75.0,broken clouds,-24.85,152.35,Takalvan Motel
106,Harper,LR,81.05,scattered clouds,4.38,-7.72,Screensaver
109,Faanui,PF,80.76,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
111,Apomu,NG,84.49,scattered clouds,7.33,4.18,Molete Apomu
113,Castro,BR,77.27,overcast clouds,-24.79,-50.01,CHACARA BAILLY
115,Bilma,NE,76.33,clear sky,18.69,12.92,Expeditions Ténére voyages
124,Looc,PH,79.97,clear sky,12.26,121.99,Cummings Highlands
127,Senanga,ZM,81.36,broken clouds,-16.12,23.27,Christopher Nasilele House
128,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
132,Acapulco,MX,84.2,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
139,Yulara,AU,87.8,few clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
141,Hithadhoo,MV,82.71,broken clouds,-0.6,73.08,Scoop Guest House
143,West Bay,KY,80.01,scattered clouds,19.37,-81.42,Calypso Cove
144,Beroroha,MG,82.36,light rain,-21.67,45.17,
151,Vallenar,CL,89.13,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
156,Adrar,MR,75.81,overcast clouds,20.5,-10.07,
157,Saint-Pierre,RE,77.0,broken clouds,-21.34,55.48,Lindsey Hôtel
158,Mareeba,AU,77.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
159,Chirongui,YT,77.0,overcast clouds,-12.93,45.15,La Villa Mahatsara
161,Tiruchchirappalli,IN,78.8,mist,10.82,78.68,Sangam Hotel
165,Makakilo City,US,71.6,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
171,Narrabri,AU,82.4,broken clouds,-30.32,149.78,Crossroads Hotel
174,Nicolas De Pierola,PE,71.6,clear sky,-11.95,-76.7,HOSTAL ELEGANCIA
178,Hobyo,SO,79.57,few clouds,5.35,48.53,Halane Hotel and Restaurent
182,Alofi,NU,77.0,moderate rain,-19.06,-169.92,Taloa Heights
184,Champerico,GT,86.0,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
185,Hervey Bay,AU,75.99,clear sky,-25.3,152.85,Shelly Bay Resort
187,Itarema,BR,87.6,scattered clouds,-2.92,-39.92,Windvillage
189,Mazatlan,MX,73.0,clear sky,23.22,-106.42,Gaviana Resort
193,Umm Lajj,SA,75.34,clear sky,25.02,37.27,Moon light Furnished Units
196,Santa Isabel,BR,89.6,clear sky,-23.32,-46.22,Chácara Sombra do Altíssimo
200,Acarau,BR,88.9,scattered clouds,-2.89,-40.12,castelo pizzaria
201,Cayenne,GF,87.8,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
203,Ugoofaaru,MV,82.89,broken clouds,5.67,73.0,Ungoofaaru Inn
204,Xique-Xique,BR,86.58,overcast clouds,-10.82,-42.73,Hotel J. Macedo
210,Mar Del Plata,AR,77.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
211,Buin,CL,86.0,clear sky,-33.73,-70.75,Paihuen
212,Kapoeta,SS,80.96,broken clouds,4.77,33.59,Eastgate Hotel
213,Ewa Beach,US,71.6,overcast clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
216,Barreiras,BR,86.97,overcast clouds,-12.15,-44.99,Hotel Solar das Mangueiras - Barreiras
219,Kalmunai,LK,78.98,light rain,7.42,81.82,VS Villa
222,Liku,ID,75.38,light rain,-0.73,119.89,Agoes Liverpool
227,Nchelenge,ZM,74.71,light rain,-9.35,28.73,Mweru Water Transport
228,Ballina,AU,71.6,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
229,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
230,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
231,Palm Coast,US,73.99,mist,29.59,-81.21,Hammock Beach Golf Resort & Spa
236,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
237,Naberera,TZ,70.43,light rain,-4.2,36.93,
240,Maningrida,AU,82.71,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
241,Barra Patuca,HN,81.59,few clouds,15.8,-84.28,
242,Maceio,BR,84.2,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
245,Biak,ID,78.69,light rain,-0.91,122.88,Kost Ariz
249,Buala,SB,78.8,light rain,-8.14,159.59,Maringe Lagoon Lodge
250,Mecca,SA,75.85,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
254,Amalapuram,IN,80.6,light rain,16.58,82.02,swayamprabha service apartments
255,Sao Filipe,CV,75.02,overcast clouds,14.9,-24.5,Tortuga B&B
258,Poum,NC,75.63,clear sky,-20.23,164.02,Gîte kajeon
261,Puerto Colombia,CO,87.8,broken clouds,10.99,-74.95,Hotel El Emigrante
266,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
269,Qui Nhon,VN,75.99,moderate rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
271,Boa Vista,BR,86.0,overcast clouds,2.82,-60.67,Aipana Plaza Hotel
273,Bahia Honda,CU,79.0,clear sky,22.9,-83.16,Casa Gualberto - Deysi
278,Gambela,ET,82.85,broken clouds,8.25,34.58,Solomon Debebe Hotel
279,Sao Miguel Do Araguaia,BR,91.2,few clouds,-13.28,-50.16,Hotel Executivo Palace
280,Aitape,PG,78.37,moderate rain,-3.14,142.35,
281,Mlonggo,ID,75.22,overcast clouds,-6.53,110.7,Asia Metal Art
282,Nouadhibou,MR,73.4,clear sky,20.93,-17.03,El Medina
283,Mumford,GH,81.77,broken clouds,5.26,-0.76,Spanish Villa
285,Cockburn Town,TC,78.31,scattered clouds,21.46,-71.14,Osprey Beach Hotel
289,Obera,AR,91.62,moderate rain,-27.49,-55.12,CABAÑAS DORALIA
291,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
292,Abomsa,ET,71.4,scattered clouds,9.98,39.98,
298,Kaberamaido,UG,70.16,light rain,1.74,33.16,"Little Orchard, Kaberamaido"
300,Sorong,ID,81.3,moderate rain,-0.88,131.25,The Waigo Hotel
303,Am Timan,TD,82.71,clear sky,11.03,20.28,Palais du chef Canton Salamt
305,Bonthe,SL,82.81,light rain,7.53,-12.51,Bonthe Holiday Village
306,Micheweni,TZ,81.03,few clouds,-4.97,39.83,
307,Urucara,BR,94.91,overcast clouds,-2.54,-57.76,Pousada Maria Bonita
