City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Country,Date
0,Jamestown,42.1,-79.24,46.0,56,1,10.29,clear sky,US,2020-11-29 16:37:53
1,Busselton,-33.65,115.33,54.0,96,55,17.56,broken clouds,AU,2020-11-29 16:47:30
2,Upernavik,72.79,-56.15,7.86,78,100,11.88,overcast clouds,GL,2020-11-29 16:37:49
3,Lufilufi,-13.87,-171.6,75.2,94,75,3.29,broken clouds,WS,2020-11-29 16:38:48
4,Biltine,14.53,20.92,80.33,16,0,8.9,clear sky,TD,2020-11-29 16:47:31
5,Yellowknife,62.46,-114.35,23.0,85,75,12.75,broken clouds,CA,2020-11-29 16:42:46
6,Bluff,-46.6,168.33,53.01,88,100,1.01,overcast clouds,NZ,2020-11-29 16:47:31
7,Finnsnes,69.23,17.98,42.8,88,75,28.86,moderate rain,NO,2020-11-29 16:47:31
8,Kapaa,22.08,-159.32,75.2,78,75,14.99,broken clouds,US,2020-11-29 16:47:31
9,Mataura,-46.19,168.86,53.01,88,100,1.01,overcast clouds,NZ,2020-11-29 16:47:31
10,Vaini,-21.2,-175.2,75.2,83,20,11.41,few clouds,TO,2020-11-29 16:47:31
11,Ribeira Grande,38.52,-28.7,59.0,72,40,4.7,scattered clouds,PT,2020-11-29 16:47:31
12,Saint George,37.1,-113.58,33.8,34,1,4.7,clear sky,US,2020-11-29 16:38:23
13,Ushuaia,-54.8,-68.3,48.2,66,75,20.8,light rain,AR,2020-11-29 16:44:37
14,Chuy,-33.7,-53.46,81.39,61,22,8.5,few clouds,UY,2020-11-29 16:37:48
15,Petropavlovsk-Kamchatskiy,53.05,158.65,15.8,78,75,4.47,broken clouds,RU,2020-11-29 16:37:55
16,Albany,42.6,-73.97,45.0,73,0,1.99,clear sky,US,2020-11-29 16:45:56
17,Lubango,-14.92,13.49,63.73,92,100,4.72,moderate rain,AO,2020-11-29 16:47:32
18,Butaritari,3.07,172.79,80.73,83,26,17.05,moderate rain,KI,2020-11-29 16:47:32
19,Sao Gabriel Da Cachoeira,-0.13,-67.09,84.2,74,40,2.24,scattered clouds,BR,2020-11-29 16:47:32
20,Bredasdorp,-34.53,20.04,68.0,56,0,9.17,clear sky,ZA,2020-11-29 16:37:36
21,Cidreira,-30.18,-50.21,76.75,84,66,5.88,heavy intensity rain,BR,2020-11-29 16:38:24
22,Naryan-Mar,67.67,53.09,20.62,94,100,19.19,overcast clouds,RU,2020-11-29 16:47:33
23,Nieuw Amsterdam,5.88,-55.08,86.0,70,40,2.24,scattered clouds,SR,2020-11-29 16:47:33
24,Iqaluit,63.75,-68.51,-11.2,69,20,12.75,few clouds,CA,2020-11-29 16:43:25
25,Provideniya,64.38,-173.3,15.06,90,73,8.3,broken clouds,RU,2020-11-29 16:37:44
26,New Norfolk,-42.78,147.06,48.99,67,10,2.57,clear sky,AU,2020-11-29 16:47:33
27,Ariquemes,-9.91,-63.04,93.56,45,27,3.31,scattered clouds,BR,2020-11-29 16:47:33
28,Qaanaaq,77.48,-69.36,-16.08,82,91,3.31,overcast clouds,GL,2020-11-29 16:47:33
29,Berwick,41.05,-76.23,46.99,55,0,1.01,clear sky,US,2020-11-29 16:47:33
30,Punta Arenas,-53.15,-70.92,53.6,58,75,31.09,broken clouds,CL,2020-11-29 16:47:34
31,Nikolskoye,59.7,30.79,32.0,94,75,15.66,broken clouds,RU,2020-11-29 16:37:40
32,Rikitea,-23.12,-134.97,76.3,82,96,12.33,overcast clouds,PF,2020-11-29 16:47:34
33,Kaitangata,-46.28,169.85,51.01,77,95,3.0,overcast clouds,NZ,2020-11-29 16:37:44
34,Dunedin,-45.87,170.5,53.01,65,96,4.0,overcast clouds,NZ,2020-11-29 16:47:34
35,Georgetown,5.41,100.34,80.6,88,20,3.36,few clouds,MY,2020-11-29 16:34:30
36,Malmesbury,-33.46,18.73,70.0,63,0,23.04,clear sky,ZA,2020-11-29 16:47:34
37,Barcelona,41.39,2.16,63.0,59,0,4.7,clear sky,ES,2020-11-29 16:43:48
38,Kilindoni,-7.91,39.67,81.91,77,93,10.02,overcast clouds,TZ,2020-11-29 16:38:40
39,Saskylakh,71.92,114.08,12.6,93,98,15.82,overcast clouds,RU,2020-11-29 16:47:34
40,Dunmore East,52.15,-6.99,53.01,93,75,3.49,broken clouds,IE,2020-11-29 16:47:35
41,Tuktoyaktuk,69.45,-133.04,-0.4,84,40,6.93,scattered clouds,CA,2020-11-29 16:37:38
42,Kavaratti,10.57,72.64,82.76,68,14,3.02,few clouds,IN,2020-11-29 16:43:01
43,Port Alfred,-33.59,26.89,65.25,68,0,4.79,clear sky,ZA,2020-11-29 16:47:05
44,Ahipara,-35.17,173.17,63.75,95,100,7.81,overcast clouds,NZ,2020-11-29 16:37:59
45,Orocue,4.79,-71.34,82.58,70,81,4.29,broken clouds,CO,2020-11-29 16:47:35
46,Havre-Saint-Pierre,50.23,-63.6,32.0,95,75,13.87,broken clouds,CA,2020-11-29 16:43:31
47,Touros,-5.2,-35.46,86.0,58,40,20.8,scattered clouds,BR,2020-11-29 16:37:44
48,Carnarvon,-24.87,113.63,69.8,83,40,26.4,scattered clouds,AU,2020-11-29 16:47:35
49,Cap-Aux-Meules,47.38,-61.86,39.2,80,84,19.46,broken clouds,CA,2020-11-29 16:37:46
50,Udachnyy,66.42,112.4,-2.2,84,75,2.24,light snow,RU,2020-11-29 16:37:45
51,Hasaki,35.73,140.83,46.4,87,75,5.82,broken clouds,JP,2020-11-29 16:37:46
52,Trairi,-3.28,-39.27,87.35,54,38,16.33,scattered clouds,BR,2020-11-29 16:47:36
53,Katherine,-14.47,132.27,86.0,58,14,12.75,few clouds,AU,2020-11-29 16:38:46
54,Tongliao,43.61,122.27,7.47,91,0,9.15,clear sky,CN,2020-11-29 16:47:36
55,Hambantota,6.12,81.12,78.8,94,20,6.93,thunderstorm,LK,2020-11-29 16:37:50
56,Port Blair,11.67,92.75,81.18,79,2,15.64,clear sky,IN,2020-11-29 16:35:11
57,Goma,-1.68,29.22,63.28,82,100,1.25,light rain,CD,2020-11-29 16:43:34
58,Hobart,-42.88,147.33,51.8,66,5,6.93,clear sky,AU,2020-11-29 16:45:24
59,Pedasi,7.53,-80.03,81.32,76,5,3.31,light rain,PA,2020-11-29 16:47:37
60,Kodiak,57.79,-152.41,21.2,85,75,6.53,broken clouds,US,2020-11-29 16:36:59
61,Sainte-Marie,-20.9,55.55,75.2,69,75,13.87,broken clouds,RE,2020-11-29 16:47:37
62,Okhotsk,59.38,143.3,3.06,85,88,16.6,overcast clouds,RU,2020-11-29 16:47:37
63,Cape Town,-33.93,18.42,70.0,63,0,23.04,clear sky,ZA,2020-11-29 16:43:31
64,Marzuq,14.4,46.47,64.87,81,1,5.55,clear sky,YE,2020-11-29 16:47:37
65,Manokwari,-0.87,134.08,79.39,79,100,3.06,moderate rain,ID,2020-11-29 16:38:27
66,Torbat-E Jam,35.24,60.62,43.77,61,46,2.57,scattered clouds,IR,2020-11-29 16:47:38
67,Lompoc,34.64,-120.46,46.4,52,1,10.29,clear sky,US,2020-11-29 16:47:28
68,Husavik,66.04,-17.34,28.4,100,75,6.93,broken clouds,IS,2020-11-29 16:47:38
69,Saint-Joseph,-21.37,55.62,77.0,73,75,9.53,broken clouds,RE,2020-11-29 16:47:38
70,Clyde River,70.47,-68.59,-9.4,76,1,6.93,clear sky,CA,2020-11-29 16:47:38
71,Khrebtovaya,56.7,104.25,5.43,96,100,4.63,overcast clouds,RU,2020-11-29 16:47:38
72,Barrow,71.29,-156.79,3.2,84,90,8.05,overcast clouds,US,2020-11-29 16:47:38
73,Trelleborg,55.38,13.16,33.01,87,90,8.05,overcast clouds,SE,2020-11-29 16:47:39
74,Tuy Hoa,13.08,109.3,75.87,90,100,19.37,heavy intensity rain,VN,2020-11-29 16:47:39
75,Shelburne,44.08,-80.2,46.99,85,31,15.93,scattered clouds,CA,2020-11-29 16:38:09
76,Uray,60.12,64.78,9.25,95,0,4.29,clear sky,RU,2020-11-29 16:47:39
77,Viedma,-40.81,-63.0,64.0,30,0,8.99,clear sky,AR,2020-11-29 16:47:39
78,Atuona,-9.8,-139.03,78.64,79,12,21.92,light rain,PF,2020-11-29 16:47:39
79,Opuwo,-18.06,13.84,77.77,44,66,12.71,light rain,NA,2020-11-29 16:38:33
80,Miri,4.41,114.01,75.2,94,40,10.29,scattered clouds,MY,2020-11-29 16:43:19
81,Port Elizabeth,-33.92,25.57,69.8,64,0,5.82,clear sky,ZA,2020-11-29 16:37:44
82,Victor Harbor,-35.57,138.62,59.0,80,60,9.73,broken clouds,AU,2020-11-29 16:47:40
83,Karratha,-20.74,116.85,77.97,68,0,11.79,clear sky,AU,2020-11-29 16:47:40
84,Malakal,9.53,31.66,81.3,18,12,3.94,few clouds,SS,2020-11-29 16:47:40
85,Kavieng,-2.57,150.8,79.3,85,100,23.69,light rain,PG,2020-11-29 16:38:08
86,Arraial Do Cabo,-22.97,-42.03,84.2,65,0,26.4,clear sky,BR,2020-11-29 16:37:47
87,Bubaque,11.28,-15.83,81.34,44,41,7.92,scattered clouds,GW,2020-11-29 16:38:17
88,Esperance,-33.87,121.9,62.6,77,75,9.17,broken clouds,AU,2020-11-29 16:38:23
89,Chokurdakh,70.63,147.92,-6.79,92,95,11.61,overcast clouds,RU,2020-11-29 16:37:58
90,Saint-Philippe,-21.36,55.77,77.0,73,75,11.63,broken clouds,RE,2020-11-29 16:47:40
91,Jagdispur,25.48,84.42,60.8,63,0,3.36,haze,IN,2020-11-29 16:47:40
92,Hilo,19.73,-155.09,68.0,82,40,5.82,light rain,US,2020-11-29 16:43:28
