City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fortuna,US,2020-11-28 04:44:40,40.6,-124.16,45.0,89,0,3.0
1,Rikitea,PF,2020-11-28 04:44:23,-23.12,-134.97,76.15,76,75,14.56
2,Tuktoyaktuk,CA,2020-11-28 04:44:23,69.45,-133.04,5.0,84,90,2.24
3,Sibolga,ID,2020-11-28 04:44:46,1.74,98.78,84.42,64,88,3.11
4,Clyde River,CA,2020-11-28 04:45:15,70.47,-68.59,-5.8,76,90,16.11
5,San Patricio,US,2020-11-28 04:51:34,28.02,-97.52,75.99,88,90,3.36
6,Pinawa,CA,2020-11-28 04:51:34,50.15,-95.88,28.94,97,95,7.16
7,Mar Del Plata,AR,2020-11-28 04:44:29,-38.0,-57.56,66.99,82,0,6.93
8,Dvinskoy,RU,2020-11-28 04:44:38,62.15,45.12,14.88,95,50,6.29
9,Sao Joao Da Barra,BR,2020-11-28 04:45:00,-21.64,-41.05,73.42,89,0,9.86
10,Chokurdakh,RU,2020-11-28 04:44:41,70.63,147.92,-10.14,92,98,4.59
11,Castro,BR,2020-11-28 04:44:30,-24.79,-50.01,62.37,96,100,7.47
12,Sao Filipe,CV,2020-11-28 04:44:34,14.9,-24.5,74.98,71,57,11.86
13,Khandela,IN,2020-11-28 04:51:34,27.6,75.5,69.4,27,0,4.5
14,Dikson,RU,2020-11-28 04:44:24,73.51,80.55,29.19,98,100,15.93
15,Hilo,US,2020-11-28 04:44:29,19.73,-155.09,78.8,65,40,6.93
16,Port Alfred,ZA,2020-11-28 04:44:23,-33.59,26.89,67.14,73,66,21.21
17,Dingle,PH,2020-11-28 04:44:48,11.0,122.67,85.39,74,52,12.06
18,Mataura,NZ,2020-11-28 04:44:26,-46.19,168.86,55.99,71,100,3.0
19,Mount Gambier,AU,2020-11-28 04:44:30,-37.83,140.77,64.4,77,100,8.05
20,Sitka,US,2020-11-28 04:44:27,57.05,-135.33,39.2,91,90,8.05
21,Kapaa,US,2020-11-28 04:44:34,22.08,-159.32,77.0,65,1,20.8
22,Mahebourg,MU,2020-11-28 04:44:30,-20.41,57.7,73.4,83,75,8.05
23,Bethel,US,2020-11-28 04:44:30,41.37,-73.41,46.0,87,1,5.82
24,Provideniya,RU,2020-11-28 04:44:25,64.38,-173.3,22.21,91,72,6.96
25,Kaitangata,NZ,2020-11-28 04:44:44,-46.28,169.85,55.99,71,72,11.99
26,Basavana Bagevadi,IN,2020-11-28 04:51:36,16.58,75.97,65.86,85,100,16.08
